classification,mapped_internal_status,automation_note,id,npdes_id,source,severity,description,internal_value,external_value,internal_source_table,internal_source_id,external_source_id,detected_at,reviewed_at,updated_at,dismiss_reason,review_notes,recurrence_count
one_click_align_candidate,terminated,"Confirm permit lifecycle, then set internal status to terminated.",8d543ab5-a9f3-409c-bcbe-091a6fe032ce,TN0079308,echo,medium,"Permit status mismatch: internal=""active"" vs ECHO=""Terminated; Compliance Tracking Off""",active,Terminated; Compliance Tracking Off,npdes_permits,1ab3107b-294e-49da-9276-1efda5d79e72,387b752c-905a-4690-8e32-75504ff05c82,2026-07-02T22:30:23.329372+00:00,,2026-07-02T22:30:23.329372+00:00,,,1
one_click_align_candidate,terminated,"Confirm permit lifecycle, then set internal status to terminated.",14751522-6b6f-4ad6-a4ca-f7ea4f7599f0,TN0079502,echo,medium,"Permit status mismatch: internal=""active"" vs ECHO=""Terminated; Compliance Tracking Off""",active,Terminated; Compliance Tracking Off,npdes_permits,92e86095-6cbf-43e4-bea4-dfcda2abf57d,3e73bf7e-8276-45db-b444-a99e67f3eda7,2026-07-02T22:30:26.479947+00:00,,2026-07-02T22:30:26.479947+00:00,,,1
one_click_align_candidate,terminated,"Confirm permit lifecycle, then set internal status to terminated.",53cd86c9-488c-4ab5-874e-a47242910320,TN0079529,echo,medium,"Permit status mismatch: internal=""active"" vs ECHO=""Terminated; Compliance Tracking Off""",active,Terminated; Compliance Tracking Off,npdes_permits,d3ec89ab-cc0e-4356-b557-be8717a97bbb,486cae0a-e84f-4a96-ba98-e41489d14dcb,2026-07-02T22:30:29.504566+00:00,,2026-07-02T22:30:29.504566+00:00,,,1
one_click_align_candidate,expired,"Confirm permit lifecycle, then set internal status to expired.",a1910236-5c48-47fe-a4aa-d05124d27e35,TN0079561,echo,medium,"Permit status mismatch: internal=""active"" vs ECHO=""Expired""",active,Expired,npdes_permits,2ed9e0fe-a86d-4a47-b4f4-e3c1d5d3f51e,d082675c-3afa-47fd-9a7a-29934c031e8b,2026-07-02T22:30:32.911785+00:00,,2026-07-02T22:30:32.911785+00:00,,,1
one_click_align_candidate,terminated,"Confirm permit lifecycle, then set internal status to terminated.",392aca5e-d431-4d62-b60d-7cb3c55005ec,TN0079570,echo,medium,"Permit status mismatch: internal=""active"" vs ECHO=""Terminated; Compliance Tracking Off""",active,Terminated; Compliance Tracking Off,npdes_permits,6f331753-15dd-4db0-8ee0-e44eaf335672,2894bf40-181c-4a6f-9865-3305651044da,2026-07-02T22:30:35.66496+00:00,,2026-07-02T22:30:35.66496+00:00,,,1
one_click_align_candidate,terminated,"Confirm permit lifecycle, then set internal status to terminated.",275ea9a7-c410-4e4c-a729-a6eb4b279cc2,VA0082058,echo,medium,"Permit status mismatch: internal=""active"" vs ECHO=""Terminated; Compliance Tracking Off""",active,Terminated; Compliance Tracking Off,npdes_permits,516e37fb-29ba-4f20-906a-f87774abc195,845aa224-2eeb-4644-af98-9efacf9a8e30,2026-07-02T22:31:09.393098+00:00,,2026-07-02T22:31:09.393098+00:00,,,1
one_click_align_candidate,administratively_continued,"Confirm permit lifecycle, then set internal status to administratively_continued.",769276b1-846a-4f92-bf06-88de3ddb1762,WV1021061,echo,medium,"Permit status mismatch: internal=""active"" vs ECHO=""Admin Continued""",active,Admin Continued,npdes_permits,d8e61c37-aba9-40fc-b757-b5d7b72bc4dc,244d0d34-d6b3-46dc-8387-5a2e0bb2f586,2026-07-02T22:33:09.405223+00:00,,2026-07-02T22:33:09.405223+00:00,,,1
one_click_align_candidate,expired,"Confirm permit lifecycle, then set internal status to expired.",77fe7390-46e9-4784-a7d3-50e2e6a0620c,WV1021117,echo,medium,"Permit status mismatch: internal=""active"" vs ECHO=""Expired""",active,Expired,npdes_permits,6221885d-9003-4101-804b-243093c70a84,8802b7c3-c2f2-482e-9ae1-b2b43c597a58,2026-07-02T22:33:19.728209+00:00,,2026-07-02T22:33:19.728209+00:00,,,1
one_click_align_candidate,expired,"Confirm permit lifecycle, then set internal status to expired.",1cb4da6b-f873-43cb-a790-81a1b69984d4,WV1024361,echo,medium,"Permit status mismatch: internal=""active"" vs ECHO=""Expired; Compliance Tracking Off""",active,Expired; Compliance Tracking Off,npdes_permits,2600fe29-4622-4ea9-801a-f703fa750a6e,73a57c03-1587-455d-b401-b5bb194db4a5,2026-07-02T22:34:04.154366+00:00,,2026-07-02T22:34:04.154366+00:00,,,1
one_click_align_candidate,administratively_continued,"Confirm permit lifecycle, then set internal status to administratively_continued.",bef108a2-7f75-4f00-94ae-31cc1befa2a9,WV1025911,echo,medium,"Permit status mismatch: internal=""active"" vs ECHO=""Admin Continued""",active,Admin Continued,npdes_permits,400bb05a-7039-4a13-a48f-bb0407f7b026,08e29fe4-a5ac-42ea-96d2-380de252296b,2026-07-02T22:34:10.381015+00:00,,2026-07-02T22:34:10.381015+00:00,,,1
