id,npdes_id,severity,description,internal_value,external_value,detected_at
50c2e20e-1073-495c-9946-2c048eb72ffd,WV1012088,critical,"Permit status mismatch: internal=""active"" vs ECHO=""Effective""",active,Effective,2026-07-02T22:32:26.003591+00:00
72fa1ac1-3ed0-477c-829c-7f9bf5561975,WV1012312,critical,"Permit status mismatch: internal=""active"" vs ECHO=""Expired""",active,Expired,2026-07-02T22:32:29.543521+00:00
728a61ac-e6f7-4591-809f-ea9274609eb4,WV1015389,critical,"Permit status mismatch: internal=""active"" vs ECHO=""Expired""",active,Expired,2026-07-02T22:32:31.966778+00:00
61ac01fa-391c-45ff-ab08-1366d878e41f,WV1016539,critical,"Permit status mismatch: internal=""active"" vs ECHO=""Effective""",active,Effective,2026-07-02T22:32:35.042932+00:00
b69ae5cb-1f51-498e-b514-6e227c7e6870,WV1018663,critical,"Permit status mismatch: internal=""active"" vs ECHO=""Effective""",active,Effective,2026-07-02T22:32:38.251174+00:00
69e8b4d4-0c3a-4ba8-90a0-2a59f3b32ef4,WV1018701,critical,"Permit status mismatch: internal=""active"" vs ECHO=""Expired""",active,Expired,2026-07-02T22:32:44.6333+00:00
72fa8f19-a0db-41d8-824f-1278bfc24716,WV1018736,critical,"Permit status mismatch: internal=""active"" vs ECHO=""Effective""",active,Effective,2026-07-02T22:32:47.848341+00:00
5d82a45a-1d48-460b-92a9-0b487d3b6fd1,WV1018752,critical,"Permit status mismatch: internal=""active"" vs ECHO=""Expired""",active,Expired,2026-07-02T22:32:50.613143+00:00
ee35aa5f-6275-4d38-a2cb-165490295ad1,WV1018779,critical,"Permit status mismatch: internal=""active"" vs ECHO=""Expired""",active,Expired,2026-07-02T22:32:54.482179+00:00
4efbbb9c-6616-4220-a8ef-67aee1df2d8b,WV1018809,critical,"Permit status mismatch: internal=""active"" vs ECHO=""Expired""",active,Expired,2026-07-02T22:32:56.890561+00:00
0fea9514-5693-44cd-ab4a-bb5b70320471,WV1018833,critical,"Permit status mismatch: internal=""active"" vs ECHO=""Expired""",active,Expired,2026-07-02T22:32:59.889448+00:00
4442e603-5b7e-4a33-a227-16520dbc1b86,WV1018965,critical,"Permit status mismatch: internal=""active"" vs ECHO=""Admin Continued""",active,Admin Continued,2026-07-02T22:33:04.730119+00:00
869e563b-d0bb-4d2a-bb35-71bdf3256645,WV1021079,critical,"Permit status mismatch: internal=""active"" vs ECHO=""Admin Continued""",active,Admin Continued,2026-07-02T22:33:14.296155+00:00
c83adb07-98dc-42e9-a749-e7da2e127e40,WV1021095,critical,"Permit status mismatch: internal=""active"" vs ECHO=""Admin Continued""",active,Admin Continued,2026-07-02T22:33:17.50587+00:00
c58c7a63-2667-49ec-bbec-8644a25f214a,WV1021249,critical,"Permit status mismatch: internal=""active"" vs ECHO=""Admin Continued""",active,Admin Continued,2026-07-02T22:33:22.617456+00:00
c5f99387-337a-4b28-9cfd-55500c7cdda9,WV1021281,critical,"Permit status mismatch: internal=""active"" vs ECHO=""Expired""",active,Expired,2026-07-02T22:33:24.622882+00:00
6c35a11d-06f1-45d4-b72a-7185eb70d203,WV1021338,critical,"Permit status mismatch: internal=""active"" vs ECHO=""Admin Continued""",active,Admin Continued,2026-07-02T22:33:28.203026+00:00
501cf91a-813a-4288-8d69-1f631ee954c5,WV1022580,critical,"Permit status mismatch: internal=""active"" vs ECHO=""Effective""",active,Effective,2026-07-02T22:33:33.914396+00:00
4f5a6138-140d-41ec-a79c-5886e3084e41,WV1022652,critical,"Permit status mismatch: internal=""active"" vs ECHO=""Effective""",active,Effective,2026-07-02T22:33:36.773792+00:00
4c4efd38-83c4-453b-9fed-2620ceb2cc26,WV1023781,critical,"Permit status mismatch: internal=""active"" vs ECHO=""Expired""",active,Expired,2026-07-02T22:33:39.835003+00:00
a7b752d1-6188-427c-842c-79eaa04baf71,WV1024078,critical,"Permit status mismatch: internal=""active"" vs ECHO=""Effective""",active,Effective,2026-07-02T22:33:42.674382+00:00
66e92bd3-f77b-4b6f-8c46-9acc473bd07a,WV1024124,critical,"Permit status mismatch: internal=""active"" vs ECHO=""Expired""",active,Expired,2026-07-02T22:33:48.977472+00:00
82905820-7505-4f8e-8224-c65649b78879,WV1024132,critical,"Permit status mismatch: internal=""active"" vs ECHO=""Expired""",active,Expired,2026-07-02T22:33:52.020272+00:00
e2613fc1-9701-4936-980a-dcf74b0341b2,WV1024159,critical,"Permit status mismatch: internal=""active"" vs ECHO=""Expired""",active,Expired,2026-07-02T22:33:55.16207+00:00
2d9b512f-6fa7-43a8-91ed-198621214d49,WV1024167,critical,"Permit status mismatch: internal=""active"" vs ECHO=""Effective""",active,Effective,2026-07-02T22:33:58.167641+00:00
3f7e0bd9-dd1a-4fcd-9d56-6af4da7e8970,WV1024230,critical,"Permit status mismatch: internal=""active"" vs ECHO=""Effective""",active,Effective,2026-07-02T22:34:01.260253+00:00
8d82b833-a934-41bc-b70d-8e16aa3b1c3d,WV1024442,critical,"Permit status mismatch: internal=""active"" vs ECHO=""Expired""",active,Expired,2026-07-02T22:34:07.566518+00:00
683e8ce6-f4ed-4ff3-b409-0aefdd332122,WV1025929,critical,"Permit status mismatch: internal=""active"" vs ECHO=""Expired""",active,Expired,2026-07-02T22:34:13.937099+00:00
992e5bef-8dd8-40d7-b6f0-242ee6878a5f,WV1026003,critical,"Permit status mismatch: internal=""active"" vs ECHO=""Expired""",active,Expired,2026-07-02T22:34:16.616721+00:00
dc8ec259-8d5c-4528-a771-306bafca2c32,WV1026488,critical,"Permit status mismatch: internal=""active"" vs ECHO=""Expired""",active,Expired,2026-07-02T22:34:21.783298+00:00
0ee2d0d7-1977-4c88-9f0e-d970f9fd931a,WV1028324,critical,"Permit status mismatch: internal=""active"" vs ECHO=""Effective""",active,Effective,2026-07-02T22:34:34.938914+00:00
